CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,Country,DateOfBirth
1,John,Doe,john.doe@example.com,123-456-7890,123 Elm St,Springfield,USA,1985-06-15
2,Jane,Smith,jane.smith@example.com,234-567-8901,456 Oak St,Springfield,USA,1990-08-22
3,Michael,Johnson,michael.johnson@example.com,345-678-9012,789 Pine St,Centerville,USA,1983-03-12
4,Emily,Davis,emily.davis@example.com,456-789-0123,101 Maple St,Centerville,USA,1995-11-30
5,James,Martinez,james.martinez@example.com,567-890-1234,102 Birch St,Lakewood,USA,1992-04-25
6,Linda,Anderson,linda.anderson@example.com,678-901-2345,203 Cedar St,Lakewood,USA,1988-07-19
7,David,Wilson,david.wilson@example.com,789-012-3456,304 Ash St,Weston,USA,1991-01-10
8,Laura,Moore,laura.moore@example.com,890-123-4567,405 Willow St,Weston,USA,1993-02-05
9,Robert,Clark,robert.clark@example.com,901-234-5678,506 Pinewood St,Lincoln,USA,1986-12-23
10,Patricia,Lopez,patricia.lopez@example.com,123-345-6789,607 Cedarwood St,Lincoln,USA,1990-09-17
11,William,Martinez,william.martinez@example.com,234-456-7890,708 Redwood St,Shelby,USA,1984-03-30
12,Amy,Taylor,amy.taylor@example.com,345-567-8901,809 Oakwood St,Shelby,USA,1992-05-02
13,Charles,Thomas,charles.thomas@example.com,456-678-9012,910 Birchwood St,Grove,USA,1981-06-10
14,Mary,Jackson,mary.jackson@example.com,567-789-0123,1011 Maplewood St,Grove,USA,1989-11-14
15,Joseph,White,joseph.white@example.com,678-890-1234,1122 Pinewood St,Greenfield,USA,1993-07-23
16,Elizabeth,Harris,elizabeth.harris@example.com,789-901-2345,1233 Cedarwood St,Greenfield,USA,1990-10-11
17,Christopher,Martin,christopher.martin@example.com,890-012-3456,1344 Redwood St,Riverside,USA,1982-02-17
18,Jessica,Garcia,jessica.garcia@example.com,901-123-4567,1455 Willow St,Riverside,USA,1991-09-09
19,Daniel,Allen,daniel.allen@example.com,123-234-5678,1566 Oakwood St,Clearwater,USA,1994-08-20
20,Rebecca,Young,rebecca.young@example.com,234-345-6789,1677 Birchwood St,Clearwater,USA,1996-04-15
21,Kevin,Hernandez,kevin.hernandez@example.com,345-456-7890,1788 Cedarwood St,Orlando,USA,1987-05-28
22,Susan,Wright,susan.wright@example.com,456-567-8901,1899 Pinewood St,Orlando,USA,1990-12-03
23,Mark,Lopez,mark.lopez@example.com,567-678-9012,2001 Maplewood St,Madison,USA,1985-10-17
24,Betty,Scott,betty.scott@example.com,678-789-0123,2112 Oakwood St,Madison,USA,1989-01-25
25,Steven,Roberts,steven.roberts@example.com,789-890-1234,2223 Cedarwood St,Westfield,USA,1986-07-30
26,Margaret,Phillips,margaret.phillips@example.com,890-901-2345,2334 Willow St,Westfield,USA,1992-11-09
27,Paul,Evans,paul.evans@example.com,901-012-3456,2445 Redwood St,Eastwood,USA,1993-04-19
28,Alice,Gonzalez,alice.gonzalez@example.com,123-234-5678,2556 Ashwood St,Eastwood,USA,1991-08-13
29,John,Hall,john.hall@example.com,234-345-6789,2667 Maplewood St,Greendale,USA,1988-02-06
30,Linda,Allen,linda.allen@example.com,345-456-7890,2778 Pinewood St,Greendale,USA,1995-12-28
31,Henry,Adams,henry.adams@example.com,456-567-8901,2889 Cedarwood St,Sunnyvale,USA,1990-11-10
32,Julia,King,julia.king@example.com,567-678-9012,3000 Oakwood St,Sunnyvale,USA,1984-09-18
33,Christopher,Lee,christopher.lee@example.com,678-789-0123,3111 Birchwood St,Clearview,USA,1982-06-25
34,Elizabeth,Harris,elizabeth.harris@example.com,789-890-1234,3222 Willow St,Clearview,USA,1994-01-12
35,Matthew,Lopez,matthew.lopez@example.com,890-901-2345,3333 Maplewood St,Lakeside,USA,1987-03-10
36,Jessica,Johnson,jessica.johnson@example.com,901-012-3456,3444 Ashwood St,Lakeside,USA,1992-02-08
37,William,Walker,william.walker@example.com,123-234-5678,3555 Cedarwood St,Lakeview,USA,1985-07-18
38,Emily,Williams,emily.williams@example.com,234-345-6789,3666 Redwood St,Lakeview,USA,1990-05-29
39,Joseph,White,joseph.white@example.com,345-456-7890,3777 Willow St,Forestville,USA,1991-03-02
40,Elizabeth,Evans,elizabeth.evans@example.com,456-567-8901,3888 Oakwood St,Forestville,USA,1995-10-12
41,James,Green,james.green@example.com,567-678-9012,3999 Maplewood St,Maplewood,USA,1990-12-01
42,Patricia,Young,patricia.young@example.com,678-789-0123,4000 Birchwood St,Maplewood,USA,1994-06-09
43,Michael,Allen,michael.allen@example.com,789-890-1234,4111 Cedarwood St,Woodland,USA,1982-08-21
44,Mary,Scott,mary.scott@example.com,890-901-2345,4222 Pinewood St,Woodland,USA,1989-01-04
45,William,Adams,william.adams@example.com,901-012-3456,4333 Oakwood St,Shadybrook,USA,1992-04-17
46,Betty,Williams,betty.williams@example.com,123-234-5678,4444 Birchwood St,Shadybrook,USA,1995-11-20
47,Steven,Johnson,steven.johnson@example.com,234-345-6789,4555 Willow St,Greendale,USA,1983-09-09
48,Rebecca,Harris,rebeca.harris@example.com,345-456-7890,4666 Maplewood St,Greendale,USA,1993-07-30
49,Kevin,Miller,kevin.miller@example.com,456-567-8901,4777 Pinewood St,Southville,USA,1986-10-21
50,Susan,White,susan.white@example.com,567-678-9012,4888 Cedarwood St,Southville,USA,1994-05-16
